feature,cohens_d,p_value,mean_risk,mean_norm,n_risk,n_norm
X739,0.9881229201144992,6.577253882651158e-226,-353.62595419847327,-401.3138783932256,1310,24937
X769,0.9847543792420201,2.9141741934393237e-213,-282.82442748091603,-322.6796098293003,1310,24937
X773,0.9834729510062641,1.7060716493561956e-185,1698.0992366412213,1621.3919929254764,1310,24937
X839,-0.9591754347022541,2.838442554109965e-174,1335.2442748091603,1428.8897821368278,1310,24937
X734,0.9542843244753197,8.806740785408633e-197,-1130.4885496183206,-1223.239006350993,1310,24937
X344,-0.9491485530679292,4.941277374597063e-198,5.209351145038168,5.669145429696921,1310,24937
X844,-0.9076012413864746,1.8225232491172614e-222,389.5267175572519,447.80850550687353,1310,24937
X744,0.904072571627581,2.977446743463059e-206,80.80916030534351,-23.64337969290136,1310,24937
X837,-0.8931392061247749,5.060700827235496e-103,285.3893129770992,346.0102634188172,1310,24937
X881,-0.8880973999872284,3.411001005439316e-226,394.98473282442745,443.9646809764986,1310,24937
X748,0.8671209966255488,1.4886701821538697e-136,248.25954198473283,185.36015756893642,1310,24937
X843,-0.8443834358366447,3.479007376394876e-103,134.8091603053435,200.0108529624568,1310,24937
X870,0.8428309147384668,5.9358035013583576e-154,540.6870229007634,449.95457834231047,1310,24937
X761,0.841390857574044,1.966396704833514e-161,294.0763358778626,237.7232896535091,1310,24937
X749,0.8306530098918253,1.6454828520301463e-147,289.2290076335878,222.9708979821529,1310,24937
X791,0.8252104886095941,1.0546189416986953e-153,1867.2213740458014,1822.2232494573518,1310,24937
X342,-0.8249768554974307,6.490883984789492e-123,6.862786259541985,7.471500924511616,1310,24937
X746,0.8081687824057947,1.5100011826066416e-115,194.8320610687023,136.23763968164644,1310,24937
X780,0.804569046031685,1.8459652266226408e-110,1793.0381679389313,1743.1819278077016,1310,24937
X747,0.7996837910165232,1.4307800958204444e-109,200.0763358778626,142.96245678913095,1310,24937
X750,0.7937462653110401,1.0415978586815528e-122,292.4732824427481,227.4869362488946,1310,24937
X779,0.7888660430099792,1.1543579031416632e-135,1814.2519083969466,1764.4846852640887,1310,24937
X775,0.7698251717817032,4.3822635004615954e-104,1684.8702290076335,1636.580914864539,1310,24937
X1085,0.7653476651962616,2.0190537127317063e-162,15633.859923664122,15202.160684138596,1310,24937
X874,-0.7533594073948363,1.0870262625413302e-88,319.09923664122135,361.4623362006592,1310,24937
X788,0.7506524945875864,1.991442041916958e-133,1700.2137404580153,1652.7888093898223,1310,24937
X355,-0.7453598468134461,6.063193795365311e-120,232.0763358778626,233.67021062786398,1310,24937
X751,0.7409232632484567,2.884240428549844e-95,294.8473282442748,242.11512179435647,1310,24937
X745,0.7360721181073091,7.31317876135907e-95,124.70229007633588,70.07597073719752,1310,24937
X880,-0.7349434841223492,2.4975526614754314e-89,188.31297709923663,240.7283543693223,1310,24937
X399,-0.7277135058308856,8.666324121663794e-87,7.616603053435115,8.158071388375271,1310,24937
X842,0.7205538629768529,1.3307064799243336e-108,-478.17557251908397,-557.1786317228073,1310,24937
X340,-0.7164445613374711,1.5717627600237277e-126,7.255916030534351,7.751607846289895,1310,24937
X909,0.7115571235284224,1.4760397183834724e-109,1555.679389312977,1491.4378165447383,1310,24937
X346,-0.70993334822813,1.1907186766061175e-129,4.0368320610687025,4.33844159498352,1310,24937
X974,0.6976230084831511,7.713555613843085e-142,-2261.946564885496,-2294.0654393439986,1310,24937
X415,-0.6902832014319008,6.973826240368717e-116,17.440458015267176,18.37145268912292,1310,24937
X790,0.6870466107243004,8.235945139261944e-117,1907.1221374045801,1872.8290055470698,1310,24937
X348,-0.6708938565441878,2.4570336183736095e-141,3.007824427480916,3.305812364337969,1310,24937
X985,0.6703353731022907,1.5608846640383314e-115,1368.9541984732825,1360.0839295763326,1310,24937
X979,0.6701213682299091,2.582788818882958e-116,-117.62595419847328,-129.87113111986494,1310,24937
X733,0.6644539748177931,2.0522548479847871e-94,-458.0610687022901,-511.80882707613154,1310,24937
X768,0.6642517319117821,4.438936502875757e-80,-156.0763358778626,-202.5529919339711,1310,24937
X860,0.6535488023518263,4.32428315112664e-96,1396.1526717557251,1338.0332020258863,1310,24937
X792,0.6470813987159705,1.3376595544755217e-94,1997.5343511450383,1967.527132406142,1310,24937
X396,-0.6372832011153104,1.7490610953543376e-86,7.144465648854962,7.650514510812767,1310,24937
X857,0.6354855898300822,1.2549496820550894e-74,1163.206106870229,1117.7329367312484,1310,24937
X988,0.6349435341030253,3.053503208444917e-108,2132.8091603053435,2120.176139561058,1310,24937
X991,0.6336021390810677,5.505566243439136e-88,2980.022900763359,2970.5296245678915,1310,24937
X758,0.622614776786993,2.6365237495680276e-109,126.5114503816794,82.10627863976204,1310,24937
X982,0.6217003889916296,1.81493668919443e-107,577.4961832061068,566.5432912613554,1310,24937
X838,-0.612268081031504,1.6047453200254846e-101,1048.473282442748,1091.6674705898117,1310,24937
X973,0.6096014497107379,1.9560893332584352e-82,355.03206106870226,348.22027494171556,1310,24937
X588,0.6082208108087976,1.1164881358916844e-94,0.2863509060955519,0.2841852889988092,1310,24937
X398,-0.6059281983234399,7.683743230403326e-65,7.25324427480916,7.684520459844039,1310,24937
X361,0.6018167683538949,1.7032424692006503e-102,261.78320610687024,260.61918160623844,1310,24937
X397,-0.6015582830718958,1.109729201867647e-66,8.729770992366412,9.171406463542086,1310,24937
X875,-0.5954922833713815,3.351317144174683e-107,1178.5419847328244,1230.3935203794517,1310,24937
X735,-0.5912514820631366,7.947828429949826e-87,683.5419847328244,741.6886405659619,1310,24937
X983,0.5894667452513347,2.2917847199214973e-99,326.9389312977099,317.2400514510813,1310,24937
X824,-0.5886872746402125,7.30597856550881e-94,1281.7480916030534,1309.0429294959401,1310,24937
X976,0.5885635765128313,4.831659299816521e-95,-951.0152671755725,-962.3943243025967,1310,24937
X732,0.5853511061989776,1.4010473655719946e-144,156.2526717557252,133.3220516118659,1310,24937
X989,0.5767431537054888,2.898071085170142e-83,364.7175572519084,354.33491438218505,1310,24937
X856,0.5735548648839914,5.7038189442423205e-70,1094.9160305343512,1053.848380094863,1310,24937
X581,-0.5718223970147419,1.1160975014191511e-154,0.4373522900763358,0.4389792185867031,1310,24937
X886,-0.5705568180398123,5.513464423048644e-96,2566.8244274809163,2602.235308304526,1310,24937
X759,0.5648601106657257,7.982572521203838e-87,158.9083969465649,120.81959964627382,1310,24937
X738,0.5645135292695039,8.99731371196431e-79,-214.0381679389313,-265.6767693008548,1310,24937
X760,0.5510019666690776,3.300903452745432e-77,369.41984732824426,334.2945574403087,1310,24937
X731,0.5507962080507955,4.566677071693641e-82,473.162213740458,450.6172119945333,1310,24937
X583,-0.5481499838217345,8.840695770969565e-144,0.4372763358778626,0.4388241217139641,1310,24937
X389,0.544079815891708,8.838369078954657e-62,5.797900763358778,5.5151840984001925,1310,24937
X582,-0.540598549925822,5.172224379485548e-139,0.4370862595419847,0.4386000080392314,1310,24937
X817,-0.5374931835767085,2.8619923066153396e-91,1330.4274809160306,1367.7839858509526,1310,24937
X388,0.5361078537211429,1.0282911241605443e-56,4.389122137404581,4.2242041160865025,1310,24937
X783,0.5339349669509024,1.8401262199397897e-82,1735.526717557252,1702.1476806817268,1310,24937
X825,-0.5333528749124441,1.7112190708456668e-76,1305.7557251908397,1329.5220676903289,1310,24937
X782,0.5301723147652275,1.7832106574854585e-59,1786.1908396946565,1753.9983117613956,1310,24937
X271,-0.5293707905858087,1.1041665505024607e-81,22.923730916030536,22.94563258702468,1310,24937
X984,0.5261584173832049,3.3741591432026855e-67,1009.3664122137404,1001.8829487900956,1310,24937
X823,-0.5199609940872916,4.1679127342047684e-79,1271.1679389312976,1295.388696840582,1310,24937
X584,-0.5161531651107283,4.241817430830462e-124,0.4370198473282443,0.4384540557922662,1310,24937
X1049,-0.5109551920464127,5.663822565183188e-141,84638.62805343511,89891.17810917276,1310,24937
X855,0.5058362527441695,1.7616348823606045e-67,1241.5801526717557,1202.865584050165,1310,24937
X752,0.5012634691874497,2.4206368857402403e-51,262.1679389312977,222.83101535493208,1310,24937
X813,-0.4969312164517535,5.304521322716541e-90,1362.1374045801526,1397.1119061017766,1310,24937
X548,-0.49693097360236893,5.492815332151761e-58,57.03511450381679,60.033764772087785,1310,24937
X403,-0.49541172534927286,2.642464925635108e-54,3.6337786259541986,4.1170311118257095,1310,24937
X816,-0.49512363700466816,5.897467915962234e-84,1330.0,1367.1408473349948,1310,24937
X885,-0.4935796014907429,1.4456767557450744e-81,2641.2824427480914,2666.4414341988904,1310,24937
X952,-0.49010375730229255,1.6337389760723585e-56,365.68759541984736,368.72211391590963,1310,24937
X814,-0.48945193498319556,9.652758323384788e-89,1338.5648854961833,1372.5295441755768,1310,24937
X1083,-0.4875389449930154,9.21253074625478e-93,21510.054961832062,22154.37971299944,1310,24937
X863,0.4874031891958836,1.0115794585749664e-56,1030.8320610687024,981.9137390465471,1310,24937
X395,-0.4846618500292084,9.160244722946863e-67,6.761832061068702,7.129642656162071,1310,24937
X815,-0.48073877051782293,1.443362023314545e-85,1336.3969465648854,1372.0729158292468,1310,24937
X335,0.4806480674775183,1.695592979099288e-115,145.8639312977099,145.66094541361846,1310,24937
X812,-0.4735134205316252,4.399036400371037e-84,1397.5954198473282,1430.8662271886808,1310,24937
X762,0.47164824146764994,2.2231949786994454e-55,454.5419847328244,423.63694830774176,1310,24937
X753,0.46543503941402053,1.9775723153690193e-67,125.08396946564885,86.84058204035694,1310,24937
X977,0.4626358436061801,3.042538220974352e-56,388.98473282442745,381.03320202588634,1310,24937
X822,-0.4622854502885485,8.46971303195794e-68,1263.1374045801526,1284.113272771123,1310,24937
X980,0.4622489403461166,5.395959152367428e-44,350.40458015267177,342.1775062304044,1310,24937
X130,-0.4621695991976981,3.3888391946046636e-62,18.482893129770996,18.489676521424553,1310,24937
X724,-0.4611712823011137,1.3697329470381534e-60,863.5929389312977,883.4788769193665,1310,24937
X660,-0.45556808439462887,1.3105148271788787e-94,51.339368320610696,51.531929114076696,1310,24937
X884,-0.44971390438326586,3.1789587587878133e-69,2688.7480916030536,2710.386285071147,1310,24937
X561,-0.4480875384996111,3.154217253372161e-120,17.990782442748092,26.197566122678673,1310,24937
X82,0.44546301119037185,9.922745849043941e-64,3.2350335877862597,3.2332202548436375,1310,24937
X387,0.4453205269430289,2.2875051327799312e-42,4.14351145038168,4.0418743468124445,1310,24937
X887,-0.44168825251136457,1.50995179364427e-52,2443.1679389312976,2466.1496100972745,1310,24937
X811,-0.4413183673786858,4.688686099526957e-75,1435.824427480916,1468.306937856741,1310,24937
X83,0.439907992587,1.4996814759401586e-62,3.2389053435114508,3.237119684058204,1310,24937
X990,0.4393865313254765,1.5785586752502606e-75,2637.5038167938933,2631.1983278398584,1310,24937
X35,0.43903340066954444,1.7208497709700014e-58,1.1498374045801525,1.1483449232253395,1310,24937
X849,-0.4298762052396687,1.2007109292279192e-47,1229.7251908396947,1253.833105555109,1310,24937
X999,-0.4290574729466278,6.813318815796633e-44,600.2534351145039,636.6607343837929,1310,24937
X71,0.42542631940366676,1.1345880069288775e-54,0.7064938931297711,0.7048766580914866,1310,24937
X274,-0.42461027371724425,7.530337404375827e-49,18.48831679389313,18.49396645630678,1310,24937
X883,-0.4245369482522535,5.806250220042527e-61,2758.2137404580153,2777.717260229922,1310,24937
X74,0.4208935198253552,3.889898883627842e-56,1.492390076335878,1.4906783503497067,1310,24937
X70,0.41955369803859316,2.2412279350665284e-53,0.7066015267175573,0.7050090039392234,1310,24937
X632,-0.41768108513501434,2.6961668687609915e-91,2.8845419847328246,4.722164161106198,1310,24937
X818,-0.41744892391083843,2.0115842905181136e-52,1292.7480916030534,1313.0030549079509,1310,24937
X713,0.4129972803890835,3.1111388174355934e-38,2599.272709923664,2580.542658171879,1310,24937
X882,-0.4105081400880818,1.3568006153535577e-59,2751.709923664122,2770.1471179355253,1310,24937
X379,0.40935298191024194,4.592258855568621e-74,76.78454198473283,76.61729238684782,1310,24937
X723,-0.4046563801032153,7.408878704389531e-53,138.12900763358778,158.14573116810033,1310,24937
X81,0.40371986159213136,2.2776988371692405e-49,3.240859923664122,3.2394442881260552,1310,24937
X968,-0.4028839951276148,1.0548267625378557e-54,364.8625954198473,370.0881903690007,1310,24937
X809,-0.4027314552917274,1.4079999750953112e-55,1283.5954198473282,1307.6995739207332,1310,24937
X562,-0.4017862076926473,2.2909614637149033e-79,21.242356870229006,28.41669346410483,1310,24937
X380,0.4014211009333033,1.4947305812783791e-85,120.61374045801527,118.62472867593858,1310,24937
X1059,0.39786613482801525,4.190663394051036e-48,6.560496183206107,5.477500200980786,1310,24937
X69,0.3970097179684422,1.0450467501373605e-47,0.7067225190839695,0.7052745397539995,1310,24937
X47,0.3942206053230295,1.4055332663298994e-45,1.5317870229007635,1.5302444328322213,1310,24937
X55,0.39177353100621065,2.7692214700900414e-45,0.5048278625954198,0.5031961773454457,1310,24937
X848,-0.39082436618371763,1.2324316333576499e-39,1334.3740458015268,1352.0122196318032,1310,24937
X894,0.39074418330865796,7.532747280532445e-29,2432.610687022901,2408.7844682048394,1310,24937
X394,-0.38983824014302493,9.576005213883636e-45,6.205725190839694,6.47408352761476,1310,24937
X110,-0.38883852742492164,5.374515740117765e-52,0.8845461832061069,1.1037305115630947,1310,24937
X75,0.3877331698378321,3.616278315602305e-48,1.49233893129771,1.4907585215853367,1310,24937
X867,0.3834775377841517,7.614036041128791e-40,557.3206106870228,520.7548838331055,1310,24937
X54,0.38189859056655345,6.232379951815846e-44,0.5051645038167939,0.5035672280729961,1310,24937
X73,0.38016462269805473,7.07332810067622e-46,1.4906068702290078,1.4891548556957954,1310,24937
X48,0.3789234523938769,6.133899085001319e-45,0.6860984732824428,0.6847272288769194,1310,24937
X819,-0.37859658416511693,2.8937388053875417e-40,1276.6259541984732,1291.499316665327,1310,24937
X810,-0.3784683798184876,2.961135601501195e-47,1269.4045801526718,1291.051531473591,1310,24937
X465,0.371530136410534,2.480595489163667e-49,6.0700381679389315,5.600711471983279,1310,24937
X873,0.369759504896599,1.4201728608164604e-56,-297.3473282442748,-314.5325186912131,1310,24937
X80,0.36835961394101935,5.466618473563243e-40,3.2382603053435117,3.2369558043251065,1310,24937
X366,0.3681118297165662,1.0757854614538344e-18,0.05744274809160305,0.025192941554787362,1310,24937
X805,-0.3660352997364594,3.4887897378506032e-53,1457.8625954198474,1484.4718224937697,1310,24937
X53,0.3630636962179893,2.8370444091968476e-39,0.5058519083969465,0.504388917919447,1310,24937
X808,-0.3620034377335093,2.967048494522328e-46,1278.8320610687024,1300.979178390546,1310,24937
X661,-0.3595971170177851,7.978425288036875e-62,26.656538167938933,26.7554979298979,1310,24937
X1076,-0.35906120572391786,9.11731783894411e-43,2.8009541984732826,3.3143138515957875,1310,24937
X78,0.3570758764678768,2.179692900080164e-40,2.3161041984732824,2.314459200900394,1310,24937
X845,-0.35552020253716327,1.959535139177073e-33,1448.5954198473282,1463.6530267706407,1310,24937
X804,-0.354728831746797,5.57251726431562e-58,1434.381679389313,1461.1222767103466,1310,24937
X560,0.35434482430171993,5.931601561203933e-97,58.239408396946565,57.6615156965994,1310,24937
X418,0.35390063609456907,7.315858512670516e-58,117.57862595419847,115.93568614840422,1310,24937
X690,0.35317636916612005,4.002672038378673e-43,6.275305343511452,6.129229640646354,1310,24937
X79,0.35297460764273375,2.302441118943947e-39,2.319775572519084,2.3181479620548275,1310,24937
X386,0.3515691398434009,4.4988255985967997e-29,3.1543893129770995,3.0837486936248895,1310,24937
X846,-0.3513858930039642,7.849295003596313e-32,1454.0610687022902,1469.265214245518,1310,24937
X847,-0.3484580791560512,6.321897265123031e-32,1383.671755725191,1399.1305571187395,1310,24937
X1001,-0.3437289373038926,4.0726962272634326e-38,2676.975,2704.319288126055,1310,24937
X1016,0.34312442645267666,1.0379239758556537e-42,259.905248091603,241.49030814942856,1310,24937
X1000,-0.341309693109408,4.8643993965188857e-29,1659.2885496183205,1677.5788950076374,1310,24937
X586,-0.3378115108797745,1.0001182466086774e-91,0.2083169162069871,0.22440483261339092,1310,24937
X36,0.33717323190679155,6.808771534659801e-33,1.9742812977099238,1.972706909719431,1310,24937
X971,-0.3366839206714204,4.5041674482139246e-27,345.40458015267177,349.3063751105394,1310,24937
X38,0.3360068370114057,1.5630869097080874e-33,3.6168793893129774,3.615536397620388,1310,24937
X754,0.3343936965012245,3.4922170443486667e-31,145.00763358778627,118.19438861644826,1310,24937
X1014,-0.334311105464641,4.243435797592909e-52,187.80799936386768,197.70144946469964,1310,24937
X285,-0.33267585781723447,3.6138270852935557e-28,18.496765267175572,18.500836683013105,1310,24937
X821,0.3321990780185121,4.231806249820584e-30,1344.4198473282443,1328.6699091566845,1310,24937
X961,-0.33176010632402464,1.961552672693467e-22,577.8320610687023,581.4821931023395,1310,24937
X943,0.3290844303410282,3.692233543289868e-18,1371.2595419847328,1368.436289090763,1310,24937
X975,0.32782016839668593,3.1540982086923484e-50,-1340.0,-1343.427526328483,1310,24937
X993,0.3212946885090538,9.694179850090427e-36,3552.236641221374,3547.3882948790097,1310,24937
X865,0.3201050925774663,3.0719305202552767e-28,1001.3511450381679,967.3189163116006,1310,24937
X1011,-0.31989511859696573,3.476271933527939e-38,65.99587786259542,66.66327277112308,1310,24937
X937,0.31909407188553157,7.079887689974229e-19,-137.3969465648855,-141.58951684218988,1310,24937
X95,0.31849543014799037,2.5600658120156405e-36,25.627248091603054,25.565160985609772,1310,24937
X904,0.3144663021997962,5.244716452454618e-29,1885.1603053435115,1858.732213200418,1310,24937
X916,0.3143835912931304,5.428686017835964e-27,-247.0381679389313,-251.3571830533001,1310,24937
X962,-0.31436466133969093,1.2129983984737922e-24,358.6106870229008,362.41329688881746,1310,24937
X77,0.31382134861114896,3.3669727080234364e-28,2.3216118320610684,2.3203100128627705,1310,24937
X835,0.3135413944307851,3.3101275945984624e-18,341.5536259541985,339.96508963743065,1310,24937
X122,0.3126144612951854,9.839068007602541e-30,1.7984229007633585,1.797153428732213,1310,24937
X411,-0.31257171761584135,2.9420037624430566e-30,15.648473282442747,15.990523755928933,1310,24937
X400,-0.31183816827967353,5.154334648319222e-25,2.8625954198473282,3.224857303641772,1310,24937
X978,0.31017702995867635,7.599615429478749e-24,-468.03053435114504,-472.0486373502693,1310,24937
X563,0.3067789978886903,2.880078717489449e-60,58.13971374045801,57.52720576412895,1310,24937
X590,-0.3049110461443955,2.7560784729797165e-83,0.20066417126346206,0.2144970836715673,1310,24937
X967,-0.30397603065917395,5.1046555483293226e-33,2094.793893129771,2099.2853927164565,1310,24937
X1012,-0.3014661379472592,4.87226243163686e-31,32.58916030534351,32.927156523836324,1310,24937
X987,0.30034320691566196,2.3000377610182342e-20,1768.0916030534352,1765.841225178873,1310,24937
X1075,-0.29975003234745395,7.085703217424114e-29,4.076335877862595,4.7840662432671435,1310,24937
X784,0.2978913190001864,1.2218980889656229e-21,1718.4580152671756,1698.85440951845,1310,24937
X718,-0.2977501200619641,1.510898328263038e-35,999.2229007633588,1015.8938118015918,1310,24937
X405,-0.2971153279726336,4.9172121178683e-21,8.46412213740458,8.740362971299943,1310,24937
X958,-0.2963881457362288,4.2749470971693537e-16,-150.4885496183206,-148.42205965109736,1310,24937
X128,0.2958931692775616,3.529728675322484e-28,6.999370610687023,6.996796084894284,1310,24937
X576,-0.2948951935036971,8.39222031501984e-39,16.98352099236641,17.180712376396816,1310,24937
X898,0.29398291602626453,5.634864005398413e-24,2722.5190839694656,2700.3517163759143,1310,24937
X202,0.2927204208072593,3.4396089018113467e-28,6.700061832061067,6.698018610820806,1310,24937
X34,0.28929805082572085,3.549735669202697e-25,0.202337786259542,0.20101445051853042,1310,24937
X189,0.2891214511784204,3.1640095440881174e-24,6.402864885496182,6.400917477289172,1310,24937
X925,0.2882697323066455,1.5419696156638904e-28,2029.6335877862596,2025.3473751909316,1310,24937
X42,0.28410159875317964,6.231651775858264e-25,5.596988167938932,5.595102600691374,1310,24937
X409,-0.28385815596965785,8.675165689604487e-22,10.06469465648855,10.380245598520782,1310,24937
X18,0.283063652968111,6.202888071389041e-24,5.002569847328244,5.001121774258381,1310,24937
X165,0.2829600939240715,3.5838600232678785e-25,10.097786259541984,10.094251929415549,1310,24937
X928,0.28117586759826346,5.671361104481697e-29,2870.1374045801526,2865.8507918642977,1310,24937
X719,-0.27768321695494985,2.531166788885965e-17,1644.8797709923665,1671.3099224214166,1310,24937
X1018,0.2768867194056703,1.0971955865783805e-06,160.8756838422392,152.56156623923036,1310,24937
X652,-0.2760109700951749,3.7629095909201712e-28,1.5314885496183206,1.9365604148243427,1310,24937
X197,0.2729194505761051,1.0798942510417063e-23,6.699937404580154,6.698024539753999,1310,24937
X722,0.26958088327990165,1.2247426055519025e-15,1290.5387404580154,1264.849314655519,1310,24937
X892,0.2683191448630707,7.323540735285255e-18,2520.412213740458,2503.844762440711,1310,24937
X184,0.2677061983006466,5.10751661369518e-23,6.402456870229007,6.400652443926361,1310,24937
X970,-0.2675452603260337,2.7953139639848787e-20,2944.9007633587785,2948.6247286759385,1310,24937
X243,-0.2674494377183261,8.714749430121892e-14,1.0339347328244275,1.0602589838411447,1310,24937
