feature,mu_gain,pi_gain,total_gain
X628,58.05774636268616,33.069070029258725,91.12681639194489
X746,41.997886180877686,49.075109261274335,91.07299544215202
X775,52.22252788543701,38.84419208467007,91.06671997010707
X747,59.82444381713867,30.75515846014023,90.5796022772789
X47,42.195775747299194,47.551058515906334,89.74683426320553
X724,55.37948966026306,33.32714864015579,88.70663830041886
X317,53.19834175109863,35.48553501367569,88.68387676477431
X788,26.63255195617676,61.84071959517896,88.47327155135572
X779,36.12275390625,51.705419921875,87.82817382812499
X81,55.961617946624756,31.762213015556334,87.7238309621811
X411,29.127965927124023,58.49691233634949,87.6248782634735
X1042,37.69433784484863,49.52489821910858,87.21923606395721
X392,25.926212072372437,59.76058993339539,85.68680200576782
X1079,30.294055700302124,55.03117431551218,85.3252300158143
X20,42.47373814582825,42.39020218849182,84.86394033432006
X82,50.40156421661377,33.266685211658476,83.66824942827225
X932,28.376055860519408,54.740658450126645,83.11671431064605
X819,48.93127574920654,34.030422115325926,82.96169786453247
X931,48.01202840805054,34.93032402992249,82.94235243797303
X406,30.06793212890625,52.00290012359619,82.07083225250244
X320,34.049984097480774,47.67637609243393,81.7263601899147
X910,55.64915208816528,26.07676718235016,81.72591927051545
X991,8.123163986206055,73.44716863632202,81.57033262252807
X130,47.90910563468933,33.542730927467346,81.45183656215667
X70,34.59087381362915,46.16617772579193,80.75705153942108
X389,38.75171604156494,41.91330599784851,80.66502203941346
X805,36.96613368988037,43.5803444981575,80.54647818803787
X195,36.349777936935425,43.87851411104202,80.22829204797745
X116,40.344779551029205,39.618914413452146,79.96369396448135
X903,40.92971401214599,38.628498005867,79.558212018013
X344,8.369945907592774,70.98992500305175,79.35987091064453
X480,41.359182071685794,37.98847141265869,79.34765348434448
X820,38.008089542388916,41.0587878704071,79.06687741279602
X780,35.495755958557126,43.06675245761871,78.56250841617583
X749,38.58973407745361,39.773378419876096,78.36311249732971
X408,50.663162040710446,27.392983770370485,78.05614581108094
X274,58.35874028205872,19.397658038139344,77.75639832019806
X745,46.101141929626465,30.398470437526704,76.49961236715316
X884,57.690642261505126,18.691772532463073,76.3824147939682
X12,44.193563747406,31.652489507198332,75.84605325460433
X71,33.66539993286133,42.07586554288864,75.74126547574997
X497,17.930834197998045,57.64774997234345,75.57858417034149
X748,24.770765686035155,50.13797845784575,74.90874414388091
X637,40.278140258789065,34.18311586380005,74.4612561225891
X798,22.046502113342285,52.4087162733078,74.45521838665009
X62,37.329860019683835,37.11432534456253,74.44418536424637
X759,38.75932211875916,34.49423017501831,73.25355229377746
X885,31.185333776474,40.94097843170166,72.12631220817566
X791,38.48041820526123,33.28665996491909,71.76707817018033
X35,44.538782596588135,26.25581133365631,70.79459393024445
X22,32.17314805984497,38.23200163841248,70.40514969825745
X882,43.40936951637268,26.954619789123534,70.3639893054962
X38,34.360552072525024,35.98413874208927,70.3446908146143
X308,32.992638206481935,37.23318744897843,70.22582565546037
X319,36.84518394470215,33.075574612617494,69.92075855731964
X825,31.938359928131103,37.5596919298172,69.4980518579483
X585,45.654833507537845,22.64871199131012,68.30354549884797
X758,27.101654148101808,39.52355380058289,66.6252079486847
X823,30.93955616950989,35.068641817569734,66.00819798707963
X336,39.57443780899048,25.53448829650879,65.10892610549928
X799,18.56624230146408,46.212604069709776,64.77884637117386
